行業代碼,工作類型,職務類別
A6,土石採礦工作,主管
A6,土石採礦工作,專業人員
A6,土石採礦工作,技術人員
A6,土石採礦工作,操作人員
A6,土石採礦工作,維修人員
A6,土石採礦工作,行政人員
A6,土石採礦工作,事務支援人員
A6,土石採礦工作,一般員工
A7,製造業,高階主管
A7,製造業,中階主管
A7,製造業,專業人員
A7,製造業,研發人員
A7,製造業,技術人員
A7,製造業,操作人員
A7,製造業,維修人員
A7,製造業,行銷企劃人員
A7,製造業,貿易人員
A7,製造業,行政人員
A7,製造業,客服門市人員
A7,製造業,事務支援人員
A7,製造業,品管人員
A7,製造業,一般員工
A8,電力燃氣工作,主管
A8,電力燃氣工作,專業人員
A8,電力燃氣工作,技術人員
A8,電力燃氣工作,操作人員
A8,電力燃氣工作,維修人員
A8,電力燃氣工作,行政人員
A8,電力燃氣工作,事務支援人員
A8,電力燃氣工作,一般員工
A9,用水及污染整治工作,主管
A9,用水及污染整治工作,專業人員
A9,用水及污染整治工作,技術人員
A9,用水及污染整治工作,操作人員
A9,用水及污染整治工作,維修人員
A9,用水及污染整治工作,行政人員
A9,用水及污染整治工作,事務支援人員
A9,用水及污染整治工作,一般員工
A10,營建工程業,高階主管
A10,營建工程業,中階主管
A10,營建工程業,專業人員
A10,營建工程業,技術人員
A10,營建工程業,操作人員
A10,營建工程業,維修人員
A10,營建工程業,行政人員
A10,營建工程業,事務支援人員
A10,營建工程業,品管人員
A10,營建工程業,監督人員
A10,營建工程業,基層勞力人員
A10,營建工程業,一般員工
A11,批發零售業,主管
A11,批發零售業,銷售人員
A11,批發零售業,行政人員
A11,批發零售業,事務支援人員
A11,批發零售業,客服門市人員
A11,批發零售業,倉管人員
A11,批發零售業,一般員工
A12,運輸及倉儲工作,高階主管
A12,運輸及倉儲工作,中階主管
A12,運輸及倉儲工作,行政人員
A12,運輸及倉儲工作,運輸事務人員
A12,運輸及倉儲工作,車輛駕駛人員
A12,運輸及倉儲工作,倉管人員
A12,運輸及倉儲工作,品管人員
A12,運輸及倉儲工作,監督人員
A12,運輸及倉儲工作,基層勞力人員
A12,運輸及倉儲工作,倉管人員
A12,運輸及倉儲工作,一般員工
A13,住宿及餐飲服務,主管
A13,住宿及餐飲服務,經理
A13,住宿及餐飲服務,店長
A13,住宿及餐飲服務,廚師
A13,住宿及餐飲服務,廚師助理
A13,住宿及餐飲服務,飲料調配人員
A13,住宿及餐飲服務,餐飲內場人員
A13,住宿及餐飲服務,餐飲外場人員
A13,住宿及餐飲服務,收銀員
A13,住宿及餐飲服務,接待人員
A13,住宿及餐飲服務,櫃台工作人員
A13,住宿及餐飲服務,房務人員
A13,住宿及餐飲服務,保全及警衛人員
A13,住宿及餐飲服務,客服門市人員
A13,住宿及餐飲服務,一般員工
A14,出版影音傳播及資通訊服務,主管
A14,出版影音傳播及資通訊服務,副主管
A14,出版影音傳播及資通訊服務,編輯作家撰稿人員
A14,出版影音傳播及資通訊服務,新聞記者
A14,出版影音傳播及資通訊服務,翻譯人員
A14,出版影音傳播及資通訊服務,演員配音員
A14,出版影音傳播及資通訊服務,電影舞台導演製作人
A14,出版影音傳播及資通訊服務,廣播電視媒體播報員
A14,出版影音傳播及資通訊服務,其他專業人員
A14,出版影音傳播及資通訊服務,攝影師
A14,出版影音傳播及資通訊服務,節目助理舞台工作人員
A14,出版影音傳播及資通訊服務,資訊管理維護技術員
A14,出版影音傳播及資通訊服務,廣播視聽技術員
A14,出版影音傳播及資通訊服務,電信技術員
A14,出版影音傳播及資通訊服務,其他技術及專業人員
A14,出版影音傳播及資通訊服務,硬體生產設備操作人員
A14,出版影音傳播及資通訊服務,資通訊設備裝修人員
A14,出版影音傳播及資通訊服務,資訊系統分析及設計師
A14,出版影音傳播及資通訊服務,軟體開發及程式設計師
A14,出版影音傳播及資通訊服務,資料庫及網路專業人員
A14,出版影音傳播及資通訊服務,數據工程師
A14,出版影音傳播及資通訊服務,資料分析師
A14,出版影音傳播及資通訊服務,AI資料科學家
A14,出版影音傳播及資通訊服務,行政人員
A14,出版影音傳播及資通訊服務,事務支援人員
A14,出版影音傳播及資通訊服務,一般員工
A15,金融保險業,高階主管
A15,金融保險業,中階主管
A15,金融保險業,專業主管
A15,金融保險業,分行分公司主管
A15,金融保險業,經理人員
A15,金融保險業,行銷企劃人員
A15,金融保險業,研發人員
A15,金融保險業,客戶經理
