市縣,區域,總計,礦業及土石採取業,製造業,電力及燃氣供應業,用水供應及污染整治業,營建工程業,批發及零售業,運輸及倉儲業,住宿及餐飲業,出版、影音製作、傳播及資通訊服務業,金融及保險業、強制性社會安全,不動產業,專業、科學及技術服務業,支援服務業,教育業,醫療保健及社會工作服務業,藝術、娛樂及休閒服務業,其他服務業
南投縣,全部,24385,23,2119,29,98,2256,9952,657,3768,130,320,307,565,354,460,559,416,2372
南投縣,南投市,5917,4,747,3,32,521,2269,147,750,37,87,99,183,102,120,144,112,560
南投縣,埔里鎮,4446,2,209,3,8,446,1801,92,825,23,43,76,104,73,74,106,82,479
南投縣,草屯鎮,5217,2,584,2,31,525,2033,116,550,41,81,81,152,68,103,144,89,615
南投縣,竹山鎮,2619,2,254,5,14,192,1183,55,322,7,22,30,48,29,43,70,51,292
南投縣,集集鎮,513,9,23,1,1,45,189,10,116,1,6,2,14,9,8,4,16,59
南投縣,名間鄉,1309,1,135,3,5,119,663,41,100,7,18,6,23,15,18,20,16,119
南投縣,鹿谷鄉,819,0,23,1,1,32,423,7,238,1,13,3,6,16,10,8,6,31
南投縣,中寮鄉,310,0,21,1,1,54,141,13,29,2,7,1,3,1,7,7,4,18
南投縣,魚池鄉,973,0,29,2,3,59,307,118,315,3,12,8,15,25,13,9,15,40
南投縣,國姓鄉,621,0,34,2,1,86,260,21,118,2,12,0,7,3,13,7,5,50
南投縣,水里鄉,838,3,36,3,1,152,365,26,101,4,9,1,7,5,13,24,10,78
南投縣,信義鄉,320,0,11,1,0,18,138,7,78,0,6,0,1,3,21,10,1,25
南投縣,仁愛鄉,483,0,13,2,0,7,180,4,226,2,4,0,2,5,17,6,9,6
嘉義市,全部,19237,1,1060,13,49,1173,7833,410,2948,113,313,465,802,416,443,527,330,2341
嘉義市,東區,7878,0,400,5,15,453,3115,154,1386,40,105,167,393,158,203,264,99,921
嘉義市,西區,11359,1,660,8,34,720,4718,256,1562,73,208,298,409,258,240,263,231,1420
嘉義縣,全部,21750,6,2770,59,116,2164,8535,726,2864,72,278,326,377,340,368,387,267,2095
嘉義縣,太保市,1623,0,256,3,8,202,588,45,205,4,16,23,39,30,35,29,20,120
嘉義縣,朴子市,2369,0,161,4,10,182,1043,59,321,8,38,21,65,32,42,72,35,276
嘉義縣,布袋鎮,926,0,80,5,3,58,403,45,164,3,15,3,13,15,18,13,9,79
嘉義縣,大林鎮,1592,2,162,5,8,103,672,44,230,3,21,9,30,21,28,36,16,202
嘉義縣,民雄鄉,4181,0,640,12,14,383,1349,87,701,15,47,219,66,70,60,62,54,402
嘉義縣,溪口鄉,584,0,106,1,3,51,232,8,59,2,6,1,7,11,8,12,6,71
嘉義縣,新港鄉,1099,0,156,2,17,138,485,24,65,5,9,4,17,29,24,19,15,90
嘉義縣,六腳鄉,708,0,118,3,4,83,308,58,27,2,12,0,13,8,5,8,11,48
嘉義縣,東石鄉,643,0,55,2,4,43,273,60,90,3,10,2,3,6,9,9,19,55
嘉義縣,義竹鄉,471,0,57,2,3,27,215,14,41,1,13,0,9,5,9,10,3,62
嘉義縣,鹿草鄉,450,1,43,4,5,42,176,39,50,3,8,3,6,1,6,8,2,53
嘉義縣,水上鄉,2422,2,393,6,17,316,889,96,225,6,28,16,41,47,38,26,24,252
嘉義縣,中埔鄉,1994,1,186,4,15,275,775,88,231,6,23,13,37,46,29,28,30,207
嘉義縣,竹崎鄉,1172,0,128,3,4,164,497,35,148,2,13,8,16,8,18,26,11,91
嘉義縣,梅山鄉,744,0,116,1,0,50,341,10,107,2,8,1,12,5,21,18,4,48
嘉義縣,番路鄉,418,0,86,0,1,35,153,8,69,6,5,2,2,4,7,6,4,30
嘉義縣,大埔鄉,85,0,9,1,0,8,31,4,15,0,2,1,1,2,1,2,0,8
嘉義縣,阿里山鄉,269,0,18,1,0,4,105,2,116,1,4,0,0,0,10,3,4,1
基隆市,全部,19592,0,789,7,96,1765,7174,2999,2316,128,209,195,478,300,329,379,519,1909
基隆市,中正區,2943,0,140,0,18,282,1063,434,388,14,40,40,65,50,38,78,44,249
基隆市,七堵區,2775,0,181,2,22,303,968,390,317,18,22,25,75,45,47,51,42,267
基隆市,暖暖區,1638,0,62,0,12,219,509,246,202,17,16,31,38,34,31,21,24,176
基隆市,仁愛區,4837,0,83,1,6,159,2039,686,594,27,70,35,97,40,69,105,314,512
基隆市,中山區,2118,0,107,1,9,226,660,402,257,10,10,7,47,35,38,40,28,241
基隆市,安樂區,3040,0,150,1,13,359,1154,476,315,20,20,28,76,53,56,36,36,247
基隆市,信義區,2241,0,66,2,16,217,781,365,243,22,31,29,80,43,50,48,31,217
宜蘭縣,全部,25728,20,2102,33,74,2897,9392,963,4302,115,285,586,666,479,470,503,437,2404
宜蘭縣,宜蘭市,6224,4,285,6,19,553,2650,208,898,38,89,175,212,124,126,161,125,551
宜蘭縣,羅東鎮,5592,8,182,2,6,344,2241,160,959,42,80,191,214,106,157,161,106,633
宜蘭縣,蘇澳鎮,2231,4,313,4,12,158,866,146,317,1,22,15,36,38,31,31,27,210
宜蘭縣,頭城鎮,1403,0,105,2,2,155,611,51,226,3,13,11,15,18,26,21,25,119
宜蘭縣,礁溪鄉,1765,0,109,1,1,231,534,47,441,6,22,44,28,47,23,23,42,166
宜蘭縣,壯圍鄉,822,0,90,3,5,206,230,48,92,2,6,14,11,11,10,11,8,75
宜蘭縣,員山鄉,1319,0,132,1,3,269,387,65,211,2,12,15,23,26,13,19,20,121
宜蘭縣,冬山鄉,2626,4,470,6,14,437,734,112,364,7,12,45,42,46,27,23,44,239
宜蘭縣,五結鄉,2536,0,306,3,8,363,771,85,488,9,18,71,73,45,26,30,27,213
宜蘭縣,三星鄉,951,0,104,3,4,173,273,30,216,5,7,5,11,15,12,15,8,70
宜蘭縣,大同鄉,127,0,1,1,0,5,53,5,44,0,2,0,1,1,9,2,2,1
宜蘭縣,南澳鄉,132,0,5,1,0,3,42,6,46,0,2,0,0,2,10,6,3,6
屏東縣,全部,40805,20,2212,65,178,3120,17404,816,7330,147,453,427,829,771,763,898,851,4521
屏東縣,屏東市,11855,2,655,8,42,804,5034,274,1695,82,193,197,381,238,229,347,206,1468
屏東縣,潮州鎮,3766,0,145,15,14,270,1589,51,608,14,37,44,76,56,83,105,106,553
屏東縣,東港鎮,2931,0,124,2,9,139,1588,53,469,9,42,19,36,46,42,57,52,244
屏東縣,恆春鎮,2551,0,42,2,4,149,687,33,1156,5,16,15,26,125,29,20,109,133
屏東縣,萬丹鄉,2140,0,214,3,19,303,873,42,242,5,16,10,24,21,37,49,32,250
屏東縣,長治鄉,1308,0,137,1,16,120,533,25,194,5,7,12,28,16,19,20,18,157
屏東縣,麟洛鄉,511,0,23,1,2,29,242,15,72,3,5,2,17,11,9,9,8,63
屏東縣,九如鄉,824,2,73,0,12,119,331,19,109,0,7,4,13,8,19,11,8,89
屏東縣,里港鄉,1434,9,82,6,4,103,686,47,213,1,14,6,25,22,26,20,22,148
屏東縣,鹽埔鄉,743,0,52,1,8,116,338,18,68,2,6,3,7,13,19,14,16,62
屏東縣,高樹鄉,1080,2,47,1,4,73,529,29,158,1,7,2,21,8,15,25,14,144
屏東縣,萬巒鄉,737,1,49,1,4,76,295,9,150,2,3,2,11,5,14,6,13,96
